property_id,bank_property_id,property_type,city,address,price,lot_area_sqm,floor_area_sqm,listed_on,listing_url
P000018,10828000004117,Residential - Vacant Lot,Quezon City,"Lot 11, Block 469, No. 28 Don Pepe Street, Barangay Sto. Domingo,, Quezon City, Metro Manila",7.98224958E7,918,0,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004117
P000019,10828000004069,Residential - With Improvement,General Trias,"Lot 24, Block 28, Road Lot 34, Kensington 16, Barangay Navarro, General Trias, Cavite",1618000,50,60,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004069
P000020,10828000004060,Residential - With Improvement,General Trias,"Lot 6, Block 52-C, Lemon Street, Grand Meadows at Antel Grand Village, Barangay Bacao I, General Trias, Cavite",5482000,95,98,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004060
P000021,10828000004055,Residential - Condominium,Manila City,"Unit 9J, 9th floor, Peninsula Garden Midtown Homes - Magnolia Tower, Peñafrancia Street, Barangay 831, Paco, Manila City, Metro Manila",4453000,0,37,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004055
P000022,10828000004050,Residential - Condominium,Tagaytay City,"Unit 609, 6th Floor, Serin West Tagaytay Tower 1, Tagaytay-Nasugbu Highway corner Ayala Mall Serin Diversion Road, Barangay Silang, Crossing East, Tagaytay City, Cavite",7716000,0,51,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004050
P000023,06862-N-468,Condominium,Quezon City,Unit 3-2420 24th Floor Avida Towers Vita Tower 3 EDSA corner Vita Street Barangay Bagong Pag-asa Quezon City Metro Manila,19973000,0,65,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000024,06867-N-469,House & Lot,Quezon City,Lot 2-B No 3-A Alpha Drive Alpha Village Barangay Matandang Balara Capitol District Quezon City Metro Manila,19541000,200,228,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000025,06870-N-470,Condominium,Quezon City,Units 39 and 40 5th Floor Pine Crest Condominium Aurora Boulevard corner Balete Drive Barangay Kaunlaran Quezon City Metro Manila,12311000,0,84,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000031,05047-N-284,Townhouse,Quezon City,Lot 9-B-6 Don Elpidio Street Don Antonio Heights Barangay Holy Spirit Quezon City Metro Manila,7500000,65,137,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000032,06816-N-467,House & Lot,Quezon City,Lots 6 and 8 Block 6 Dagohoy Street Quirino District Quezon City Metro Manila,48000000,799,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000033,06918-N-471,Condominium,Quezon City,Unit 2525 25th Floor Grass Residences Tower 4 Misamis Street cur Nueva Vizcaya Street cur Nueva Ecija Street Barangay Sto Cristo Bago Bantay Quezon City Metro Manila,3863000,0,26,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000034,06923-N-472,Condominium,Quezon City,Unit 19-D 19th Floor El Jardin del Presidente 2 Sgt Esguerra Avenue Barangay South Triangle Diliman Quezon City Metro Manila,4713000,0,41,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000035,03524-N-190,House & Lot,Quezon City,Lot 11 Block 11 Rome Street Villa Nova Subdivision Nagkaisang Nayon Quezon City,2080000,88,145,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000036,05365-N-315,House & Lot,Quezon City,#91 ( Lot 16 Block LCH-1 ) Waling-Waling Street Roxas District Quezon City Metro Manila,3250000,200,168,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000037,05366-N-316,Townhouse,Quezon City,Lot 17 Block 2 Princess Homes Villa Hermano IV Phase 2 Barangay San Bartolome Quezon City Metro Manila,1960000,50,77,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000038,05421-N-324,House & Lot,Quezon City,#19-C [ Lot 15-A ] Ivory Street Odelco Subdivision Barangay San Bartolome Quezon City Metro Manila,2660000,169,179,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000039,05663-N-333,Condominium,Quezon City,"Unit 23 I and 23 J, 23rd floor, Tower 2, &amp; parking Slot No. 80, 2nd floor, One Orchard Road, Eastwood Ave., Eastwood City, Quezon City Metro Manila",12500000,0,117,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000040,05790-N-351,Apartment,Quezon City,Lot 1 Block 1 No. 56 Do&ntilde;a Rosario Street corner Maagap Street Do&ntilde;a Rosario Heights Subdivision Novaliches Quezon City,6919000,292,230,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000041,05871-N-363,House & Lot,Quezon City,No. 320 Lot 20 Block 3 Victoria Village Barangay Bahay Toro Tandang Sora Quezon City Metro Manila,5744000,83,128,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000042,06027-N-366,Condominium,Quezon City,Unit 3619 36th Floor Grass Residences Tower 2 Nueva Vizcaya corner Misamis and Nueva Ecija Streets Barangay Sto Cristo Quezon City Metro Manila,4000000,0,26,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000043,06053-N-367,Townhouse,Quezon City,#2-D (Lot 2-D) Alley 7 Barangay Project 6 Bago Bantay Quezon City Metro Manila,7129000,54,108,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000044,06091-N-370,Vacant Lot,Quezon City,Lot 21 Block 4 Aspen Street Spring Heights 1 Subdivision Barangay Bagong Silangan Quezon City Metro Manila,3663000,111,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000045,06133-N-374,Condominium,Quezon City,Unit 823 Grass Residences Tower 2 Nueva Vizcaya corner Misamis Street corner Nueva Ecija Street Barangay Sto Cristo Quezon City Metro Manila,4078350,0,30,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000046,06210-N-381,Condominium,Quezon City,Unit 4-D 4th Floor Escalades at 20th Avenue Building 2 20th Avenue Barangay San Roque Cubao Quezon City Metro Manila,3426563,0,32,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000047,06211-N-382,Condominium,Quezon City,Unit 4-E 4th Floor Escalades at 20th Avenue Building 2 20th Avenue Barangay San Roque Cubao Quezon City Metro Manila,3519425,0,32,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000048,06242-N-397,Lot with Structure,Quezon City,Lot 4 Block 4 Santan Street Nomar 2 Subdivision Barangay San Bartolome Quezon City Metro Manila,6405000,244,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000049,06788-N-463,Condominium,Quezon City,Unit 3904 39th Floor Avida Towers Sola Tower 2 Vertis North Barangay Pag-asa Quezon City Metro Manila,4750000,0,27,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000050,06789-N-464,Condominium,Quezon City,Unit 3905 39th Floor Avida Towers Sola Tower 2 Vertis North Barangay Pag-asa Quezon City Metro Manila,5004000,0,23,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000051,06806-N-465,Condominium,Quezon City,Unit 10 Avida Towers New Manila Tower 5 Colonel Bonny Serrano Avenue Barangay Bagong Lipunan ng Crame Quezon City Metro Manila,1870000,0,21,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000052,06808-N-466,Condominium,Quezon City,Unit 10-P 10th Floor Avida Towers New Manila Tower 1 Colonel Bonny Serrano Avenue Barangay Bagong Lipunan ng Crame Quezon City Metro Manila,4054000,0,46,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000053,06931-N-473,Condominium,Quezon City,Unit 3-104 1st Floor Avida Towers Vita Tower 3 EDSA Vertis North Barangay Bagong Pag-asa Quadrangle Quezon City Metro Manila,6071000,0,32,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000054,06945-N-474,Townhouse,Quezon City,Lot 42 Block 9 Beryl Street Princess Homes Villa Hermano IV Barangay Sta Lucia Quezon City Metro Manila,3652000,52,76,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000055,06954-N-475,Townhouse,Quezon City,Lot 12 Block 5 Agata Street Amaia Series Novaliches Barangay San Agustin Quezon City Metro Manila,5472000,51,61,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000056,06955-N-476,Condominium,Quezon City,Unit 2315 23rd Floor Avida Towers Vita Tower 3 Vita Road Vertis North Barangay Bagong Pag-asa Quezon City Metro Manila,5108000,0,22,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000057,06961-N-477,Townhouse,Quezon City,Lot 27 Block 20 Bianca Street Amaia Series Novaliches Barangay San Agustin Novaliches Quezon City Metro Manila,5489000,51,51,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000058,06962-N-478,Condominium,Quezon City,Unit 3329 33rd Floor Amaia Skies Cubao Tower 2 5th Avenue Barangay Socorro Quezon City Metro Manila,2527000,0,19,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000059,06963-N-479,Condominium,Quezon City,Unit G 6th Floor Avila North Tower Circulo Verde Calle Industria Barangay Bagumbayan Quezon City Metro Manila,7374000,0,45,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000060,06971-N-480,Condominium,Quezon City,Unit 1-1808 18th Floor Avida Towers Vita Tower 1 EDSA corner Vita Street Vertis North Barangay Bagong Pag-asa Quezon City Metro Manila,7274000,0,35,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000061,06994-N-481,Condominium,Quezon City,Unit 2715 27th Floor Amaia Skies Cubao Tower 2 5th Avenue Barangay Socorro Quezon City Metro Manila,4743000,0,35,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000062,R05988-N-027,Townhouse,Quezon City,Unit 22-F Xavierville Avenue Xavierville Subdivision Loyola Heights Quezon City Metro Manila,6100000,40,63,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/ncr
P000063,D-356-00732,Residential Townhouse,General Trias,Cavite,2452000,65,60,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00732
P000064,D-356-00725,Residential Townhouse,General Trias,Cavite,2452000,50,60,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00725
P000065,D-356-00723,Residential Townhouse,Antipolo,Rizal,6452000,88,115,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00723
P000066,D-356-00722,Residential Townhouse,General Trias,Cavite,3329000,100,72,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00722
P000067,D-356-00721,Residential Townhouse,General Trias,Cavite,2460000,80,52,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00721
P000068,D-356-00711,Residential Townhouse,General Trias,Cavite,2008000,50,50,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00711
P000069,D-356-00710,Residential Townhouse,General Trias,Cavite,2631000,90,52,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00710
P000070,D-356-00705,Residential Townhouse,General Trias,Cavite,2518000,50,61,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00705
P000071,D-356-00729,Residential Townhouse,Imus,Cavite,2592000,80,62,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00729
P000072,D-356-00712,Residential Townhouse,General Trias,Cavite,4587000,120,83,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00712-residential-townhouse-in-cavite
P000073,10828000004048,Residential - Condominium - Parking Slot,Quezon City,"Unit 208, Second Floor, Cluster D, Golf Hills Terraces Condominium, Manotoc Drive, Barangay Matandang Balara, Quezon City, Metro Manila",4940000,0,67,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004048
P000075,10828000004042,Residential - With Improvement,General Trias,"Lot 17, Block 1, Road Lot 4, Kensington 21, Barangay Navarro, General Trias, Cavite",1575000,50,50,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004042
P000076,10828000004041,Residential - With Improvement,General Trias,"Lot 39, Block 11, Redhead Street, Westwood Phase 4, Barangay Pasong Camachile, General Trias, Cavite",2417000,90,60,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004041
P000077,10828000004039,Residential - With Improvement,Davao City,"Lot 3, Block 12, DECA Homes, Phase 1, Indangan, Buhangin, Davao City, Davao del Sur",1005000,100,66,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004039
P000078,10828000004037,Residential - With Improvement,Pavia,"Lot 10, Block 5, PARC Regency Residences 5, Barangay Balabag, Pavia, Iloilo",2026000,100,40,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004037
P000079,10828000004036,Residential - With Improvement,San Isidro,"Lot 3, Block 2, Ramoso Street, Villagio Di Efleda Subdivision, Barangay Malapit, San Isidro, Nueva Ecija",1082000,42,54,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004036
P000080,10828000004034,Residential - Condominium,Marikina City,"Unit 1414, 14th Floor, Tropicana Garden City - Toledo Tower, Sumulong Highway, Barangay Sto. Nino, Marikina City, Metro Manila",2558000,0,28,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004034
P000081,10828000004031,Residential - Condominium,Taguig,"Unit 25U, 25th Floor, Park West Condominium, 7th Avenue corner 36th Street, North Bonifacio District, Global City, Taguig, Metro Manila",6192000,0,36,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004031
P000082,10828000004029,Residential - Condominium,Manila City,"Unit 2N, 2nd Floor, Peninsula Garden Midtown Homes - Mandarin Tower, Barangay 831, Penafrancia, Street, Paco, Manila City, Metro Manila",3881000,0,35,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004029
P000083,10828000004028,Residential - Vacant Lot,Samal Island Garden City,"Lot 818-A, Existing Road, Barangay Toril, Babak, Samal Island Garden City, Davao del Norte",2801000,2334,0,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004028
P000084,10828000004023,Residential - With Improvement,Dasmarinas,"Road Lot 1 corner Road Lot 3, Valle Verde Subdivision Phase 4, Barangay Zone 3, Dasmarinas, Cavite",2725000,96,112,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004023
P000085,D-356-00724,Residential Townhouse,San Pedro,Laguna,2926000,80,38,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00724-residential-townhouse-in-laguna
P000086,D-356-00696,Residential Condominium,Pasig,NCR,4177000,0,30,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00696-residential-condominium-in-pasig-city
P000087,C-0110,Commercial Building,Paranaque,NCR,15091000,316,387,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/c-0110-commercial-building-in-paranaque
P000088,D-356-00717,Residential Condominium,Quezon City,NCR,4719000,1,39,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00717-residential-condominium-in-quezon-city
P000089,D-356-00728,Residential Condominium,Pasig,NCR,3516000,1,30,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00728-residential-condominium-in-pasig
P000090,D-356-00686,Residential Townhouse,General Trias,Cavite,2382600,40,40,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00686-izfcv
P000091,D-356-00719,Residential Townhouse,General Trias,Cavite,2651000,93,60,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00719-rojlq
P000092,D-356-00678,Residential Condominium,Taguig,NCR,7241000,1,41,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00678-residential-condominium-in-taguig
P000093,TAN-0017-01 / 02,Agricultural Lot,Tandag,Surigao del Sur,505000,912,1,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/tan-0017-01---02-agricultural-lot-in-tandag
P000094,MGY-0008-01,Agricultural Lot,Tagbina,Surigao del Sur,860000,13031,1,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/mgy-0008-01-agricultural-lot-in-tagbina
P000095,05587-NAG-090,House & Lot,Legazpi City,"Lot 8200-H-5 and Lot 8200-H-10-J Brgy. Taysan, Legazpi City (Capital), Albay",9000000,217,451,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000096,06325-NAG-101,House & Lot,Legazpi City,Lot 19 Block 37 Rosmont Heights Terrace Barangay 55 Estanza Legazpi City Albay,1600000,70,30,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000097,00488-SFO-005,Vacant Lot,unknown,"L2 B3 St Joseph Homes, Orani, Bataan",58240,219,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000098,00489-SFO-005,Vacant Lot,unknown,"L5 B3 St Joseph Homes, Orani, Bataan",60840,226,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000099,00490-SFO-005,Vacant Lot,unknown,"L6 B3 St Joseph Homes, Orani, Bataan",61360,217,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000100,05856-SFO-393,Vacant Lot,unknown,Lot 1 Noraville Subdivision Barangay Tugatog Orani Bataan,800000,178,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000101,04562-SFO-336,House & Lot,unknown,Lot 15 Block 5 Dominican Hills Barangay Lalawigan Samal Bataan,2070000,100,107,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000102,05502-LIP-276,House & Lot,unknown,Lot 1 Block 6 Landing Townhomes Barangay Pantalan Nasugbu Batangas,1900000,76,60,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000103,06331-LIP-304,Vacant Lot,unknown,Lot 1 Block 14-A Persian Gulf Drive corner Midanao Sea Drive Playa Laiya Subdivision San Juan Batangas,8352000,348,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000104,06332-LIP-305,Vacant Lot,unknown,Lot 19 Block 14-A Persian Gulf Drive corner East Arctic Ocean Drive Playa Laiya Subdivision San Juan Batangas,8040000,335,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000105,05831-LIP-292,House & Lot,unknown,Lot 2-D-3-C-3-H-9-C-6 and Lot 2-D-3-C-3-H-9-A-2 Barangay Sambat San Pascual Batangas,3000000,356,111,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000106,06758-LIP-306,Vacant Lot,unknown,Lot 3 Block 3 Aster Street Avida Settings Batangas Phase 1 Barangay Poblacion III San Pascual Batangas,4100000,189,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000107,05532-LIP-280,House & Lot,unknown,Lot 26 Block 16 Salvador corner Lopez Streets San Antonio Heights Phase 3-C Barangay San Antonio Santo Tomas Batangas,2500000,152,98,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000108,05883-LIP-294,House & Lot,Tomas City,Lot 2-A and 2-B Block 8 Garda Street The Venetto Heights Imperial Homes Barangay San Vicente Santo Tomas City Batangas,1200000,100,29,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000109,04897-LIP-258,House & Lot,Tanauan City,Lot 3 Block 10 Sardonyx Street Josefa Village Barangay Sambat Tanauan City Batangas,3360000,240,284,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000110,05340-LIP-268,House & Lot,Tanauan City,#6 ( Lot 1 ) Parsley Drive Plantation Hills Greenlands Barangay Sulpoc Tanauan City Batangas,24000000,875,469,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000111,05714-LIP-289,House & Lot,Tanauan City,Lot 4 Block 4 Garnet Street Josefa Village Barangay Sambat Tanauan City Batangas,12500000,250,389,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000113,00551-T-035,House & Lot,unknown,"No.45 ( Lot 16 ) Sampalok St., Constantino Subd., Poblacion 2, Marilao",2025000,334,403,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000114,03989-T-218,House & Lot,unknown,Lot 7 Block 61 Bakawan Street Town and Country North Subdivision Phase 1-B Barangay Abangan Norte Marilao,2300000,180,115,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000115,04458-T-240,Lot with Structure,unknown,Lot 5 Block 1 Diamond Street Dolmar Golden Hills Subdivision Barangay Loma de Gato Marilao,3550000,221,213,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000116,05296-T-258,House & Lot,unknown,Lot 16 Block 11 Marigold Street Town &amp; Country North Subdivision Brgy Abangan Norte Marilao Bulacan,2790000,146,144,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000117,05626-T-263,House & Lot,unknown,"Lot 8 Block 534 Phase 5-B, Dahlia Street, Heritage Homes, Brgy. Loma De Gato, Marilao, Bulacan",2660000,132,227,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000118,06800-T-274,House & Lot,unknown,Lot 30 Block 61 Yakal Street Town and Country North Subdivision Barangay Abangan Norte Marilao Bulacan,2225000,180,239,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000119,06914-T-280,House & Lot,unknown,Lot 16 Block 28 Golden Hills Panorama Phase 3 Barangay Loma de Gato Marilao Bulacan,1883000,60,48,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000120,06925-T-282,House & Lot,unknown,Lots 29 and 31 Block 29 Golden Hills Panorama Phase 3 Barangay Loma de Gato Marilao Bulacan,2659000,134,48,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000121,03995-T-219,House & Lot,Meycauayan City,Lot 10 Block 12 Barangay Tugatog Meycauayan City,1592500,240,491,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000122,06941-T-286,House & Lot,Meycauayan City,"Lots 27, 29 and 31 Block 6 Emerald Street Meyland Village Barangay Lawa Meycauayan City Bulacan",13833000,414,614,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000123,02091-T-115,House & Lot,unknown,No. 175 Deato Subdivision Brgy Panghulo Obando,3433000,215,273,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000124,04217-T-230,Building,unknown,Lots 5 and 6 Honorable C Santos Street Extension Barangay Panghulo Obando Bulacan,16000000,535,1026,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000125,04067-T-224,Vacant Lot,unknown,Lot 2395 New-2-E &amp; New-2-F (interior) L Andres Street Barangay Bunsuran II Pandi Bulacan,6500000,3759,0,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000126,06917-T-281,House & Lot,unknown,Lots 1 and 2 Block 21 [No. 2339] Slate Street corner Emerald Avenue corner Garnet Street Rocka Village Phase 1 Barangay Tabang Plaridel Bulacan,9307000,240,308,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000127,02072-SFO-200,House & Lot,unknown,"Lot 1 Block 2 Rocka Avenue Rocka Village II Phase 5 Brgy. Tabang, Plaridel, Bulacan",2125000,141,207,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000128,03167-SFO-258,House & Lot,unknown,Lot 61 Block 16 (No. 3823) Saint Therese Street Rocka Village II Phase 7 Barangay Tabang Plaridel Bulacan,1105000,115,103,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000129,03906-SFO-307,House & Lot,unknown,Lot 342-B-1-A-23 Barangay Sta Ines Plaridel,2310000,235,140,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
P000130,05508-SFO-379,House & Lot,unknown,Lot 2-F-3 Purok 3 Barangay Lalangin Plaridel Bulacan,6300000,170,176,BPI,https://www.bpi.com.ph/group/buenamano/properties-for-sale/luzon
